id,address,longitude,latitude
101,"Thị Trấn Tân Túc, Huyện Bình Chánh",106.57468089617743,10.685112291222776
102,"Xã An Phú Tây, Huyện Bình Chánh",106.60796585571536,10.687529619714411
103,"Xã Bình Chánh, Huyện Bình Chánh",106.56721238497859,10.663820288395353
104,"Xã Bình Hưng, Huyện Bình Chánh",106.67119400229879,10.72106420983208
105,"Xã Bình Lợi, Huyện Bình Chánh",106.49622286995489,10.7508326330784
106,"Xã Đa Phước, Huyện Bình Chánh",106.6596622990028,10.663279331924025
107,"Xã Hưng Long, Huyện Bình Chánh",106.62562642449842,10.663915250170886
108,"Xã Lê Minh Xuân, Huyện Bình Chánh",106.52700499826462,10.755819410407115
109,"Xã Phạm Văn Hai, Huyện Bình Chánh",106.52857506978451,10.815682885193064
110,"Xã Phong Phú, Huyện Bình Chánh",106.65145824620708,10.696282401594583
111,"Xã Quy Đức, Huyện Bình Chánh",106.64494574162727,10.640169289445316
112,"Xã Tân Kiên, Huyện Bình Chánh",106.58484558360948,10.714621149232674
113,"Xã Tân Nhựt, Huyện Bình Chánh",106.55123267652682,10.711347867574144
114,"Xã Tân Quý Tây, Huyện Bình Chánh",106.59554651059568,10.667329143420188
115,"Xã Vĩnh Lộc A, Huyện Bình Chánh",106.56160745781791,10.82356640931846
116,"Xã Vĩnh Lộc B, Huyện Bình Chánh",106.56683986284706,10.789309125259425
401,"Thị Trấn Hóc Môn, Huyện Hóc Môn",106.59289562206303,10.886630150266797
402,"Xã Bà Điểm, Huyện Hóc Môn",106.59910026049234,10.841279274516381
403,"Xã Đông Thạnh, Huyện Hóc Môn",106.64112776275967,10.903250817587695
404,"Xã Nhị Bình, Huyện Hóc Môn",106.67236273525188,10.912095404166324
405,"Xã Tân Hiệp, Huyện Hóc Môn",106.58899500693862,10.910066559021642
406,"Xã Tân Thới Nhì, Huyện Hóc Môn",106.5502149685137,10.903553503965266
407,"Xã Tân Xuân, Huyện Hóc Môn",106.60121542415501,10.875620935031586
408,"Xã Thới Tam Thôn, Huyện Hóc Môn",106.61276013958775,10.89192537993677
409,"Xã Trung Chánh, Huyện Hóc Môn",106.60889519515797,10.866222761173999
410,"Xã Xuân Thới Đông, Huyện Hóc Môn",106.59215819794495,10.866175233306329
411,"Xã Xuân Thới Sơn, Huyện Hóc Môn",106.55704790270246,10.879138811188023
412,"Xã Xuân Thới Thượng, Huyện Hóc Môn",106.56150447014633,10.855180835646243
501,"Thị Trấn Nhà Bè, Huyện Nhà Bè",106.74214538720744,10.693830542882495
502,"Xã Hiệp Phước, Huyện Nhà Bè",106.75202069455727,10.60832582768316
503,"Xã Long Thới, Huyện Nhà Bè",106.72544244040198,10.653848621549361
504,"Xã Nhơn Đức, Huyện Nhà Bè",106.69961295006618,10.672495099327453
505,"Xã Phú Xuân, Huyện Nhà Bè",106.75014105124473,10.676594826404019
506,"Xã Phước Kiển, Huyện Nhà Bè",106.70942793072987,10.704224250643737
507,"Xã Phước Lộc, Huyện Nhà Bè",106.68397980340744,10.698420942166337
601,"Phường Bến Nghé, Quận 1",106.70469917523214,10.78063736854008
602,"Phường Bến Thành, Quận 1",106.69421008102388,10.773490213661645
603,"Phường Cầu Kho, Quận 1",106.68888264957008,10.757677608283059
604,"Phường Cầu Ông Lãnh, Quận 1",106.69678866284254,10.765371760049423
605,"Phường Cô Giang, Quận 1",106.69359549281286,10.762140125896785
606,"Phường Đa Kao, Quận 1",106.69883195787044,10.789083387513617
